,date,cases
1,2020-01-23,0.0
2,2020-01-24,0.0
3,2020-01-25,0.0
4,2020-01-26,0.0
5,2020-01-27,0.0
6,2020-01-28,0.0
7,2020-01-29,0.0
8,2020-01-30,0.0
9,2020-01-31,0.0
10,2020-02-01,0.0
11,2020-02-02,0.0
12,2020-02-03,0.0
13,2020-02-04,0.0
14,2020-02-05,0.0
15,2020-02-06,0.0
16,2020-02-07,0.0
17,2020-02-08,0.0
18,2020-02-09,0.0
19,2020-02-10,0.0
20,2020-02-11,0.0
21,2020-02-12,0.0
22,2020-02-13,0.0
23,2020-02-14,0.0
24,2020-02-15,0.0
25,2020-02-16,0.0
26,2020-02-17,0.0
27,2020-02-18,0.0
28,2020-02-19,0.0
29,2020-02-20,0.0
30,2020-02-21,0.0
31,2020-02-22,0.0
32,2020-02-23,0.0
33,2020-02-24,0.0
34,2020-02-25,0.0
35,2020-02-26,0.0
36,2020-02-27,0.0
37,2020-02-28,0.0
38,2020-02-29,0.0
39,2020-03-01,0.0
40,2020-03-02,0.0
41,2020-03-03,0.0
42,2020-03-04,0.0
43,2020-03-05,0.0
44,2020-03-06,0.0
45,2020-03-07,0.0
46,2020-03-08,0.0
47,2020-03-09,0.0
48,2020-03-10,0.0
49,2020-03-11,0.0
50,2020-03-12,0.0
51,2020-03-13,0.0
52,2020-03-14,1.0
53,2020-03-15,0.0
54,2020-03-16,1.0
55,2020-03-17,1.0
56,2020-03-18,0.0
57,2020-03-19,3.0
58,2020-03-20,0.0
59,2020-03-21,1.0
60,2020-03-22,0.0
61,2020-03-23,2.0
62,2020-03-24,1.0
63,2020-03-25,6.0
64,2020-03-26,12.0
65,2020-03-27,0.0
66,2020-03-28,10.0
67,2020-03-29,4.0
68,2020-03-30,-2.0
69,2020-03-31,13.0
70,2020-04-01,4.0
71,2020-04-02,18.0
72,2020-04-03,10.0
73,2020-04-04,18.0
74,2020-04-05,10.0
75,2020-04-06,19.0
76,2020-04-07,0.0
77,2020-04-08,21.0
78,2020-04-09,39.0
79,2020-04-10,33.0
80,2020-04-11,27.0
81,2020-04-12,17.0
82,2020-04-13,23.0
83,2020-04-14,8.0
84,2020-04-15,46.0
85,2020-04-16,47.0
86,2020-04-17,58.0
87,2020-04-18,31.0
88,2020-04-19,23.0
89,2020-04-20,26.0
90,2020-04-21,9.0
91,2020-04-22,47.0
92,2020-04-23,87.0
93,2020-04-24,32.0
94,2020-04-25,0.0
95,2020-04-26,74.0
96,2020-04-27,22.0
97,2020-04-28,27.0
98,2020-04-29,28.0
99,2020-04-30,30.0
100,2020-05-01,37.0
101,2020-05-02,37.0
102,2020-05-03,25.0
103,2020-05-04,12.0
104,2020-05-05,31.0
105,2020-05-06,51.0
106,2020-05-07,39.0
107,2020-05-08,71.0
108,2020-05-09,86.0
109,2020-05-10,46.0
110,2020-05-11,18.0
111,2020-05-12,8.0
112,2020-05-13,65.0
113,2020-05-14,43.0
114,2020-05-15,151.0
115,2020-05-16,48.0
116,2020-05-17,71.0
117,2020-05-18,46.0
118,2020-05-19,80.0
119,2020-05-20,78.0
120,2020-05-21,116.0
121,2020-05-22,0.0
122,2020-05-23,219.0
123,2020-05-24,75.0
124,2020-05-25,36.0
125,2020-05-26,17.0
126,2020-05-27,68.0
127,2020-05-28,108.0
128,2020-05-29,0.0
129,2020-05-30,135.0
130,2020-05-31,60.0
131,2020-06-01,30.0
132,2020-06-02,39.0
133,2020-06-03,39.0
134,2020-06-04,197.0
135,2020-06-05,144.0
136,2020-06-06,85.0
137,2020-06-07,78.0
138,2020-06-08,0.0
139,2020-06-09,136.0
140,2020-06-10,70.0
141,2020-06-11,68.0
142,2020-06-12,0.0
143,2020-06-13,144.0
144,2020-06-14,40.0
145,2020-06-15,77.0
146,2020-06-16,37.0
147,2020-06-17,51.0
148,2020-06-18,89.0
149,2020-06-19,90.0
150,2020-06-20,162.0
151,2020-06-21,148.0
152,2020-06-22,65.0
153,2020-06-23,124.0
154,2020-06-24,132.0
155,2020-06-25,175.0
156,2020-06-26,233.0
157,2020-06-27,113.0
158,2020-06-28,284.0
159,2020-06-29,131.0
160,2020-06-30,183.0
161,2020-07-01,196.0
162,2020-07-02,265.0
163,2020-07-03,276.0
164,2020-07-04,288.0
165,2020-07-05,0.0
166,2020-07-06,508.0
167,2020-07-07,181.0
168,2020-07-08,393.0
169,2020-07-09,350.0
170,2020-07-10,361.0
171,2020-07-11,353.0
172,2020-07-12,411.0
173,2020-07-13,206.0
174,2020-07-14,237.0
175,2020-07-15,345.0
176,2020-07-16,340.0
177,2020-07-17,205.0
178,2020-07-18,289.0
179,2020-07-19,441.0
180,2020-07-20,196.0
181,2020-07-21,272.0
182,2020-07-22,256.0
183,2020-07-23,204.0
184,2020-07-24,249.0
185,2020-07-25,221.0
186,2020-07-26,269.0
187,2020-07-27,0.0
188,2020-07-28,312.0
189,2020-07-29,255.0
190,2020-07-30,132.0
191,2020-07-31,337.0
192,2020-08-01,134.0
193,2020-08-02,0.0
194,2020-08-03,504.0
195,2020-08-04,228.0
196,2020-08-05,285.0
197,2020-08-06,169.0
198,2020-08-07,312.0
199,2020-08-08,132.0
200,2020-08-09,268.0
201,2020-08-10,88.0
202,2020-08-11,540.0
203,2020-08-12,274.0
204,2020-08-13,168.0
205,2020-08-14,254.0
206,2020-08-15,447.0
207,2020-08-16,271.0
208,2020-08-17,136.0
209,2020-08-18,196.0
210,2020-08-19,232.0
211,2020-08-20,143.0
212,2020-08-21,120.0
213,2020-08-22,139.0
214,2020-08-23,80.0
215,2020-08-24,158.0
216,2020-08-25,68.0
217,2020-08-26,131.0
218,2020-08-27,172.0
219,2020-08-28,147.0
220,2020-08-29,145.0
221,2020-08-30,133.0
222,2020-08-31,110.0
223,2020-09-01,79.0
224,2020-09-02,72.0
225,2020-09-03,75.0
226,2020-09-04,0.0
227,2020-09-05,164.0
228,2020-09-06,89.0
229,2020-09-07,154.0
230,2020-09-08,94.0
231,2020-09-09,72.0
232,2020-09-10,0.0
233,2020-09-11,76.0
234,2020-09-12,224.0
235,2020-09-13,62.0
236,2020-09-14,110.0
237,2020-09-15,95.0
238,2020-09-16,0.0
239,2020-09-17,252.0
240,2020-09-18,101.0
241,2020-09-19,150.0
242,2020-09-20,147.0
243,2020-09-21,176.0
244,2020-09-22,169.0
245,2020-09-23,0.0
246,2020-09-24,386.0
247,2020-09-25,181.0
248,2020-09-26,216.0
249,2020-09-27,180.0
250,2020-09-28,121.0
251,2020-09-29,265.0
252,2020-09-30,276.0
253,2020-10-01,220.0
254,2020-10-02,333.0
255,2020-10-03,207.0
256,2020-10-04,363.0
257,2020-10-05,224.0
258,2020-10-06,237.0
259,2020-10-07,402.0
260,2020-10-08,537.0
261,2020-10-09,425.0
262,2020-10-10,559.0
263,2020-10-11,546.0
264,2020-10-12,0.0
265,2020-10-13,885.0
266,2020-10-14,503.0
267,2020-10-15,0.0
268,2020-10-16,1591.0
269,2020-10-17,582.0
270,2020-10-18,698.0
271,2020-10-19,568.0
272,2020-10-20,709.0
273,2020-10-21,725.0
274,2020-10-22,0.0
275,2020-10-23,1265.0
276,2020-10-24,2529.0
277,2020-10-25,772.0
278,2020-10-26,1561.0
279,2020-10-27,1445.0
280,2020-10-28,1093.0
281,2020-10-29,1614.0
282,2020-10-30,2013.0
283,2020-10-31,1833.0
284,2020-11-01,1229.0
285,2020-11-02,1422.0
286,2020-11-03,1281.0
287,2020-11-04,3538.0
288,2020-11-05,2074.0
289,2020-11-06,1423.0
290,2020-11-07,1252.0
291,2020-11-08,2057.0
292,2020-11-09,997.0
293,2020-11-10,1493.0
294,2020-11-11,1833.0
295,2020-11-12,1320.0
296,2020-11-13,1771.0
297,2020-11-14,1663.0
298,2020-11-15,1102.0
299,2020-11-16,1633.0
300,2020-11-17,1102.0
301,2020-11-18,1111.0
302,2020-11-19,791.0
303,2020-11-20,1185.0
304,2020-11-21,1129.0
305,2020-11-22,888.0
306,2020-11-23,332.0
307,2020-11-24,1298.0
308,2020-11-25,642.0
309,2020-11-26,542.0
310,2020-11-27,690.0
311,2020-11-28,635.0
312,2020-11-29,378.0
313,2020-11-30,476.0
314,2020-12-01,580.0
315,2020-12-02,1047.0
316,2020-12-03,692.0
317,2020-12-04,609.0
318,2020-12-05,440.0
319,2020-12-06,222.0
320,2020-12-07,460.0
321,2020-12-08,526.0
322,2020-12-09,402.0
323,2020-12-10,318.0
324,2020-12-11,400.0
325,2020-12-12,716.0
326,2020-12-13,226.0
327,2020-12-14,413.0
328,2020-12-15,232.0
329,2020-12-16,404.0
330,2020-12-17,381.0
331,2020-12-18,290.0
332,2020-12-19,388.0
333,2020-12-20,259.0
334,2020-12-21,367.0
335,2020-12-22,214.0
336,2020-12-23,320.0
337,2020-12-24,350.0
338,2020-12-25,294.0
339,2020-12-26,331.0
340,2020-12-27,125.0
341,2020-12-28,231.0
342,2020-12-29,301.0
343,2020-12-30,307.0
344,2020-12-31,523.0
345,2021-01-01,366.0
346,2021-01-02,421.0
347,2021-01-03,345.0
348,2021-01-04,217.0
349,2021-01-05,532.0
350,2021-01-06,523.0
351,2021-01-07,1111.0
352,2021-01-08,0.0
353,2021-01-09,834.0
354,2021-01-10,308.0
355,2021-01-11,590.0
356,2021-01-12,298.0
357,2021-01-13,629.0
358,2021-01-14,633.0
359,2021-01-15,965.0
360,2021-01-16,0.0
361,2021-01-17,365.0
362,2021-01-18,514.0
363,2021-01-19,361.0
364,2021-01-20,1009.0
365,2021-01-21,0.0
366,2021-01-22,547.0
367,2021-01-23,481.0
368,2021-01-24,536.0
369,2021-01-25,936.0
370,2021-01-26,0.0
371,2021-01-27,628.0
372,2021-01-28,570.0
373,2021-01-29,393.0
374,2021-01-30,493.0
375,2021-01-31,492.0
376,2021-02-01,421.0
377,2021-02-02,328.0
378,2021-02-03,433.0
379,2021-02-04,481.0
380,2021-02-05,547.0
381,2021-02-06,416.0
382,2021-02-07,381.0
383,2021-02-08,395.0
384,2021-02-09,331.0
385,2021-02-10,373.0
386,2021-02-11,505.0
387,2021-02-12,467.0
388,2021-02-13,433.0
389,2021-02-14,328.0
390,2021-02-15,298.0
391,2021-02-16,223.0
392,2021-02-17,208.0
393,2021-02-18,351.0
394,2021-02-19,213.0
395,2021-02-20,213.0
396,2021-02-21,521.0
397,2021-02-22,262.0
398,2021-02-23,629.0
399,2021-02-24,54.0
400,2021-02-25,326.0
401,2021-02-26,192.0
402,2021-02-27,479.0
403,2021-02-28,245.0
404,2021-03-01,289.0
405,2021-03-02,183.0
406,2021-03-03,276.0
407,2021-03-04,374.0
408,2021-03-05,248.0
409,2021-03-06,190.0
410,2021-03-07,122.0
411,2021-03-08,170.0
412,2021-03-09,288.0
413,2021-03-10,155.0
414,2021-03-11,225.0
415,2021-03-12,206.0
416,2021-03-13,225.0
417,2021-03-14,155.0
418,2021-03-15,185.0
419,2021-03-16,187.0
420,2021-03-17,235.0
421,2021-03-18,135.0
422,2021-03-19,123.0
423,2021-03-20,163.0
424,2021-03-21,168.0
425,2021-03-22,127.0
426,2021-03-23,133.0
427,2021-03-24,183.0
428,2021-03-25,180.0
429,2021-03-26,154.0
430,2021-03-27,154.0
431,2021-03-28,90.0
432,2021-03-29,102.0
433,2021-03-30,94.0
434,2021-03-31,286.0
435,2021-04-01,228.0
436,2021-04-02,161.0
437,2021-04-03,142.0
438,2021-04-04,76.0
439,2021-04-05,148.0
440,2021-04-06,207.0
441,2021-04-07,190.0
442,2021-04-08,228.0
443,2021-04-09,129.0
444,2021-04-10,155.0
445,2021-04-11,124.0
446,2021-04-12,176.0
447,2021-04-13,102.0
448,2021-04-14,185.0
449,2021-04-15,152.0
450,2021-04-16,140.0
451,2021-04-17,94.0
452,2021-04-18,223.0
453,2021-04-19,93.0
454,2021-04-20,238.0
455,2021-04-21,206.0
456,2021-04-22,145.0
457,2021-04-23,83.0
458,2021-04-24,150.0
459,2021-04-25,96.0
460,2021-04-26,92.0
461,2021-04-27,75.0
462,2021-04-28,257.0
463,2021-04-29,192.0
464,2021-04-30,110.0
465,2021-05-01,157.0
466,2021-05-02,78.0
467,2021-05-03,65.0
468,2021-05-04,49.0
469,2021-05-05,47.0
470,2021-05-06,103.0
471,2021-05-07,79.0
472,2021-05-08,82.0
473,2021-05-09,73.0
474,2021-05-10,35.0
475,2021-05-11,65.0
476,2021-05-12,261.0
477,2021-05-13,43.0
478,2021-05-14,49.0
479,2021-05-15,39.0
480,2021-05-16,72.0
481,2021-05-17,59.0
482,2021-05-18,122.0
483,2021-05-19,129.0
484,2021-05-20,59.0
485,2021-05-21,46.0
486,2021-05-22,39.0
487,2021-05-23,37.0
488,2021-05-24,3.0
489,2021-05-25,44.0
490,2021-05-26,24.0
491,2021-05-27,23.0
492,2021-05-28,54.0
493,2021-05-29,17.0
494,2021-05-30,41.0
495,2021-05-31,20.0
496,2021-06-01,26.0
497,2021-06-02,22.0
498,2021-06-03,28.0
499,2021-06-04,14.0
500,2021-06-05,12.0
501,2021-06-06,25.0
502,2021-06-07,18.0
503,2021-06-08,6.0
504,2021-06-09,10.0
505,2021-06-10,36.0
506,2021-06-11,16.0
507,2021-06-12,15.0
508,2021-06-13,4.0
509,2021-06-14,5.0
510,2021-06-15,6.0
511,2021-06-16,13.0
512,2021-06-17,13.0
513,2021-06-18,35.0
514,2021-06-19,21.0
515,2021-06-20,9.0
516,2021-06-21,4.0
517,2021-06-22,28.0
518,2021-06-23,23.0
519,2021-06-24,12.0
520,2021-06-25,18.0
521,2021-06-26,30.0
522,2021-06-27,16.0
523,2021-06-28,7.0
524,2021-06-29,33.0
525,2021-06-30,11.0
526,2021-07-01,21.0
527,2021-07-02,16.0
528,2021-07-03,33.0
529,2021-07-04,11.0
530,2021-07-05,8.0
531,2021-07-06,29.0
532,2021-07-07,31.0
533,2021-07-08,28.0
534,2021-07-09,21.0
535,2021-07-10,49.0
536,2021-07-11,20.0
537,2021-07-12,12.0
538,2021-07-13,63.0
539,2021-07-14,35.0
540,2021-07-15,64.0
541,2021-07-16,51.0
542,2021-07-17,78.0
543,2021-07-18,24.0
544,2021-07-19,21.0
545,2021-07-20,116.0
546,2021-07-21,51.0
547,2021-07-22,36.0
548,2021-07-23,73.0
549,2021-07-24,39.0
550,2021-07-25,15.0
551,2021-07-26,21.0
552,2021-07-27,126.0
553,2021-07-28,130.0
554,2021-07-29,93.0
555,2021-07-30,90.0
556,2021-07-31,126.0
557,2021-08-01,27.0
558,2021-08-02,38.0
559,2021-08-03,172.0
560,2021-08-04,142.0
561,2021-08-05,151.0
562,2021-08-06,110.0
563,2021-08-07,131.0
564,2021-08-08,38.0
565,2021-08-09,133.0
566,2021-08-10,127.0
567,2021-08-11,108.0
568,2021-08-12,92.0
569,2021-08-13,129.0
570,2021-08-14,179.0
571,2021-08-15,64.0
572,2021-08-16,127.0
573,2021-08-17,146.0
574,2021-08-18,172.0
575,2021-08-19,98.0
576,2021-08-20,212.0
577,2021-08-21,231.0
578,2021-08-22,59.0
579,2021-08-23,76.0
580,2021-08-24,128.0
581,2021-08-25,261.0
582,2021-08-26,168.0
583,2021-08-27,114.0
584,2021-08-28,117.0
585,2021-08-29,78.0
586,2021-08-30,0.0
587,2021-08-31,168.0
588,2021-09-01,137.0
589,2021-09-02,120.0
590,2021-09-03,142.0
591,2021-09-04,85.0
592,2021-09-05,74.0
593,2021-09-06,108.0
594,2021-09-07,98.0
595,2021-09-08,65.0
596,2021-09-09,119.0
597,2021-09-10,119.0
598,2021-09-11,96.0
599,2021-09-12,87.0
600,2021-09-13,52.0
601,2021-09-14,0.0
602,2021-09-15,243.0
603,2021-09-16,109.0
604,2021-09-17,90.0
605,2021-09-18,117.0
606,2021-09-19,70.0
607,2021-09-20,64.0
608,2021-09-21,71.0
609,2021-09-22,132.0
610,2021-09-23,127.0
611,2021-09-24,95.0
612,2021-09-25,94.0
613,2021-09-26,142.0
614,2021-09-27,86.0
615,2021-09-28,0.0
616,2021-09-29,0.0
617,2021-09-30,306.0
618,2021-10-01,166.0
619,2021-10-02,118.0
620,2021-10-03,152.0
621,2021-10-04,143.0
622,2021-10-05,0.0
623,2021-10-06,207.0
624,2021-10-07,0.0
625,2021-10-08,0.0
626,2021-10-09,0.0
627,2021-10-10,0.0
628,2021-10-11,0.0
629,2021-10-12,0.0
630,2021-10-13,960.0
631,2021-10-14,70.0
632,2021-10-15,127.0
633,2021-10-16,110.0
634,2021-10-17,101.0
635,2021-10-18,150.0
636,2021-10-19,0.0
637,2021-10-20,246.0
638,2021-10-21,181.0
639,2021-10-22,155.0
640,2021-10-23,115.0
641,2021-10-24,174.0
642,2021-10-25,122.0
643,2021-10-26,0.0
644,2021-10-27,300.0
645,2021-10-28,239.0
646,2021-10-29,0.0
